scenario,base_value,stressed_value,pnl,delta_exposure,gamma_exposure,vega_exposure,theta_exposure,rho_exposure
base,-71.04718852668458,-71.04718852668458,0.0,-8.391823176700548,-0.21309481001767833,-518.4603569690466,73.961216797126,-1129.8411616526553
market_crash,-71.04718852668458,-41.20913904984115,29.83804947684343,-5.275986552685291,-0.1684626430025689,-459.3610629226679,108.27370421260034,-752.1063584734713
flash_crash,-71.04718852668458,-32.1525706961087,38.89461783057588,-4.189297402998495,-0.14554651031875537,-357.70550519477734,108.34722538034241,-614.1960356249828
volatility_explosion,-71.04718852668458,-188.8134726026682,-117.76628407598363,-8.187582090185881,-0.11578337999551717,-537.4654963350421,132.0786332182649,-1013.6638321006228
vol_crush,-71.04718852668458,-27.475723878209955,43.571464648474624,-8.967188458256562,-0.292567500155781,-465.6032415670134,49.86105911623509,-1202.367804068031
rate_jump,-71.04718852668458,-93.93629868608397,-22.889110159399394,-8.864460219399842,-0.20408294427919405,-501.93017871034334,88.34859593688934,-1158.693692976923
term_structure_inversion,-71.04718852668458,-118.95187864023787,-47.904690113553286,-8.028349792561926,-0.1512713366916927,-526.8367633775404,101.86269212129201,-1024.4626942424507
