terminal_spot,pnl,base_value
92.87417355750262,-7.01034792151377,-71.04718852668458
101.89146020621259,-76.25911460111413,-71.04718852668458
84.12905947790405,46.9114029579235,-71.04718852668458
113.0084704951819,-177.05520731062072,-71.04718852668458
105.58970914040941,-108.10027830154598,-71.04718852668458
97.14095245233824,-38.1947176699086,-71.04718852668458
96.9678032268029,-36.87186886242675,-71.04718852668458
102.47094134819123,-81.12621822536693,-71.04718852668458
97.35354646758046,-39.82534789505519,-71.04718852668458
97.71859319380503,-42.64174573552512,-71.04718852668458
106.36655868911227,-115.01589130711528,-71.04718852668458
104.42635478751868,-97.8881167909905,-71.04718852668458
99.14607218316385,-53.85138380185988,-71.04718852668458
98.95651413804175,-52.3450405919544,-71.04718852668458
101.16650152700686,-70.23645875377412,-71.04718852668458
94.37732836213516,-17.654060361344918,-71.04718852668458
96.1731069432643,-30.861234495489157,-71.04718852668458
104.74093587074303,-100.63227228895309,-71.04718852668458
98.55808279960561,-49.19651031473374,-71.04718852668458
88.15849672058276,23.8207170140127,-71.04718852668458
95.5412906154874,-26.154602556432877,-71.04718852668458
105.76332076213377,-109.63918133170546,-71.04718852668458
97.66277556627973,-42.2097634954054,-71.04718852668458
98.39697648327297,-47.93022706401791,-71.04718852668458
105.6232394462453,-108.3971943795728,-71.04718852668458
117.4373250958958,-221.01339078023403,-71.04718852668458
93.54204760391006,-11.692410585961184,-71.04718852668458
112.52764858390336,-172.40007903760358,-71.04718852668458
89.30717400123179,16.67914251647501,-71.04718852668458
101.29410079741143,-71.29110229581465,-71.04718852668458
89.79269903048154,13.587957499769644,-71.04718852668458
112.56045065877733,-172.7168902111195,-71.04718852668458
107.45771827333542,-124.85622533969641,-71.04718852668458
110.42429563745667,-152.32540396626996,-71.04718852668458
92.107991837152,-1.733239018867181,-71.04718852668458
106.02848520603976,-111.99697877660117,-71.04718852668458
95.18452123446532,-23.525460094948713,-71.04718852668458
95.71182024200814,-27.418593462557396,-71.04718852668458
104.34992092218648,-97.22332624680499,-71.04718852668458
107.87074482364083,-128.61881816600442,-71.04718852668458
101.56179914449505,-73.5112185781498,-71.04718852668458
94.25922446335207,-16.80403161107718,-71.04718852668458
92.60237971140413,-5.126776117770021,-71.04718852668458
113.50132175836978,-181.8515682081868,-71.04718852668458
105.17076799303715,-104.40259618779993,-71.04718852668458
106.36331797350313,-114.98688467378835,-71.04718852668458
121.2767794966402,-260.5651823712108,-71.04718852668458
92.68504194384283,-5.6982952168889085,-71.04718852668458
125.43379555380194,-304.71633274515506,-71.04718852668458
132.26360926375685,-379.8140465580565,-71.04718852668458
115.28655709081434,-199.42950803113519,-71.04718852668458
107.39207709053582,-124.26014161243975,-71.04718852668458
93.95692012115035,-14.638860151844739,-71.04718852668458
109.01556068100093,-139.15382784592458,-71.04718852668458
95.83796788177982,-28.35664532929411,-71.04718852668458
99.52431456338074,-56.87318314470184,-71.04718852668458
97.15501073844678,-38.30232858453333,-71.04718852668458
102.28734201667183,-79.57910416164509,-71.04718852668458
111.92274486262521,-166.57806852321272,-71.04718852668458
94.87299078281406,-21.24671254452994,-71.04718852668458
91.28706401758076,3.8077328744586794,-71.04718852668458
91.1435401156169,4.764314485014353,-71.04718852668458
91.42732073932083,2.86941793339912,-71.04718852668458
87.71173184114751,26.532458976018034,-71.04718852668458
91.88202669802695,-0.19630235420842723,-71.04718852668458
111.97480715310783,-167.07762776176702,-71.04718852668458
94.55267126705368,-18.920330496180938,-71.04718852668458
102.04261163405404,-77.52413865817104,-71.04718852668458
89.41226085688731,16.01372012805041,-71.04718852668458
101.24574162092541,-70.89112738496664,-71.04718852668458
85.31031904924971,40.46403129049026,-71.04718852668458
93.6631492121251,-12.549485212437759,-71.04718852668458
122.0516739502813,-268.69562732820697,-71.04718852668458
94.6403720673208,-19.55558937699034,-71.04718852668458
110.24882882363019,-150.67257381103693,-71.04718852668458
103.86945115045133,-93.06205837232898,-71.04718852668458
98.359470269453,-47.63599809028568,-71.04718852668458
94.05564266150927,-15.344252833701418,-71.04718852668458
111.91102375749189,-166.46563949297143,-71.04718852668458
98.1445872160829,-45.954423234855426,-71.04718852668458
114.35005628240053,-190.16906017587752,-71.04718852668458
93.49266816375463,-11.343647735601124,-71.04718852668458
100.23152850521804,-62.5799708275062,-71.04718852668458
103.96675094593517,-93.90228475927654,-71.04718852668458
103.10972202673585,-86.54508058293231,-71.04718852668458
89.27684771389428,16.870797992971518,-71.04718852668458
93.95489219411692,-14.624387315874642,-71.04718852668458
97.98111129393185,-44.679874426793006,-71.04718852668458
92.37121158465688,-3.534750199290002,-71.04718852668458
105.95978985274841,-111.38529976266022,-71.04718852668458
105.11490720960947,-103.91125623577736,-71.04718852668458
83.67209720976228,49.33266614070469,-71.04718852668458
84.81869314647068,43.18021334833101,-71.04718852668458
88.89542892675466,19.26693298085766,-71.04718852668458
100.77136127378976,-66.98527838338453,-71.04718852668458
119.65358223732132,-243.69135913716622,-71.04718852668458
96.35772348786031,-32.24861650970189,-71.04718852668458
101.98356350056184,-77.0295698837138,-71.04718852668458
90.65337709149908,8.003725130516983,-71.04718852668458
90.78573415594623,7.133204396804871,-71.04718852668458
83.6710219345158,49.33831539769295,-71.04718852668458
99.46461630082729,-56.39483439572439,-71.04718852668458
108.55460745938643,-134.8934316434635,-71.04718852668458
96.5794676047102,-33.92219312639,-71.04718852668458
113.01537326956765,-177.12221185637236,-71.04718852668458
101.50204424009249,-73.01477023223771,-71.04718852668458
99.39270409482994,-55.819321441875275,-71.04718852668458
104.45021577782731,-98.09580710526987,-71.04718852668458
104.17085379756156,-95.66888555926573,-71.04718852668458
110.52421430571553,-153.26813209339178,-71.04718852668458
92.80067412260445,-6.499735319046948,-71.04718852668458
81.22614425835427,61.59280809607816,-71.04718852668458
100.74866451629435,-66.79921227802987,-71.04718852668458
94.39715468431413,-17.7969837369357,-71.04718852668458
99.47502243562741,-56.47817831701582,-71.04718852668458
115.7617535199181,-204.1609173271342,-71.04718852668458
90.33109011784573,10.110351402417962,-71.04718852668458
106.79390753207907,-118.85238326543094,-71.04718852668458
108.54147969566989,-134.77246097053614,-71.04718852668458
