scenario,option_type,strike,time_to_maturity,volatility,quantity,spot,risk_free_rate,price,market_value,delta_exposure,gamma_exposure,vega_exposure,theta_exposure,rho_exposure
base,put,90.0,0.5,0.24,-8.0,100.0,0.03,2.2430598880319828,-17.944479104255862,1.7085862335806397,-0.1372073636178768,-164.64883634145218,33.851627648078924,94.40155123115989
base,call,95.0,0.5,0.22,5.0,100.0,0.03,9.743651068114971,48.718255340574856,3.4642256569512435,0.11293500506844198,124.22850557528619,-36.26140053719944,148.85215517727474
base,call,100.0,1.0,0.2,-12.0,100.0,0.03,9.413403383853016,-112.96084060623619,-7.184475908195084,-0.23200087008170955,-464.0017401634192,64.56477652274009,-605.4867502132722
base,put,105.0,1.0,0.23,7.0,100.0,0.03,10.221397144073848,71.54978000851693,-3.4070135953674945,0.12134990057928227,279.10477133234923,-19.72951451686217,-412.2511395452663
base,call,110.0,1.5,0.25,-6.0,100.0,0.03,10.06831736088072,-60.40990416528432,-2.973145563669853,-0.0781714819658162,-293.1430573718107,31.53572768036859,-355.35697830255145
market_crash,put,90.0,0.5,0.44,-8.0,80.0,0.03,15.313773291157048,-122.51018632925638,4.555033034708975,-0.1262809740297342,-177.80361143386583,63.62620415772171,243.4564145529872
market_crash,call,95.0,0.5,0.42000000000000004,5.0,80.0,0.03,4.83554862098233,24.17774310491165,1.76051335441745,0.07811914585884602,104.99213203428907,-47.59659521185594,58.33166262424218
market_crash,call,100.0,1.0,0.4,-12.0,80.0,0.03,7.087623542094107,-85.05148250512929,-4.663710108734491,-0.14373666645118782,-367.96586611504074,82.23453300881705,-288.04532619363
market_crash,put,105.0,1.0,0.43000000000000005,7.0,80.0,0.03,28.76790064515896,201.37530451611272,-4.45160395683973,0.0764200232170416,210.30790389329852,-28.491090705160453,-557.5036210632911
market_crash,call,110.0,1.5,0.45,-6.0,80.0,0.03,9.866752972746642,-59.200517836479854,-2.4762188762374953,-0.05298417159753449,-228.89162130134895,38.50065296307795,-208.34548839377962
flash_crash,put,90.0,0.5,0.59,-8.0,65.0,0.03,27.804692736186375,-222.437541889491,5.630720722758835,-0.10197313094463205,-127.0967610811158,57.33405737179385,294.21719443440765
flash_crash,call,95.0,0.5,0.57,5.0,65.0,0.03,3.093371303344643,15.466856516723215,1.2054491621713352,0.05947732520647343,71.61813421424483,-42.70895667285195,31.443669512206792
flash_crash,call,100.0,1.0,0.55,-12.0,65.0,0.03,5.816549117815354,-69.79858941378424,-3.9002849663026917,-0.12081409998900541,-280.74176484945133,82.71558333547583,-183.71993339589073
flash_crash,put,105.0,1.0,0.58,7.0,65.0,0.03,42.68039546056226,298.76276822393584,-4.8034456063545505,0.06585090570926702,161.36764444055882,-28.467014908652608,-610.9867326369815
