trade_id,instrument_id,trade_side,quantity,trade_price,fair_value,bid,ask,half_spread,spread_capture,inventory_after,cash_after,order_flow_toxicity
0,0,customer_buy,4.0,2.272727907505894,2.2430598880319828,2.2133918685580714,2.272727907505894,0.029668019473911577,0.1186720778956456,-4.0,9.090911630023577,0.0322926112813336
1,1,customer_sell,1.0,9.598716892530103,9.743651068114971,9.598716892530103,9.88858524369984,0.14493417558486804,0.14493417558486854,1.0,-0.5078052625065261,0.1055435406510182
2,2,customer_sell,5.0,9.260588505531363,9.413403383853016,9.260588505531363,9.566218262174669,0.15281487832165297,0.7640743916082648,5.0,-46.81074779016333,0.16594463867826373
3,4,customer_buy,5.0,10.263895443981815,10.06831736088072,9.872739277779624,10.263895443981815,0.19557808310109517,0.9778904155054757,-5.0,4.508729429745742,0.3077822731377191
4,1,customer_sell,5.0,9.525722981962069,9.743651068114971,9.525722981962069,9.939976462413444,0.20712674022568767,1.0896404307645113,6.0,-43.1198854800646,0.12825777802505728
5,0,customer_buy,4.0,2.4762261479862926,2.2430598880319828,2.0160255660709345,2.4762261479862926,0.23010029095767895,0.9326650398172394,-8.0,-33.214980888119435,0.5564443551151002
6,4,customer_buy,4.0,10.47470009803897,10.06831736088072,9.74176015197613,10.47470009803897,0.36646997303142,1.6255309486329992,-9.0,8.683819504036443,0.3108990221116285
7,1,customer_sell,1.0,9.148291305597121,9.743651068114971,9.148291305597121,10.209394679506252,0.530551686954565,0.5953597625178499,7.0,-0.4644718015606788,0.2986733810986763
8,2,customer_buy,1.0,9.735344467795803,9.413403383853016,9.001288473476341,9.735344467795803,0.3670279971597315,0.32194108394278764,4.0,9.270872666235125,0.008936950056139347
9,0,customer_sell,4.0,1.8453792784208893,2.2430598880319828,1.8453792784208893,2.6530043736295994,0.40381254760435514,1.5907224384443737,-4.0,1.8893555525515673,0.551160295064126
10,2,customer_buy,5.0,9.802861126211699,9.413403383853016,8.951806580347224,9.802861126211699,0.4255272729322381,1.9472887117934157,-1.0,50.903661183610055,0.5188141506562649
11,0,customer_buy,5.0,2.470271167510258,2.2430598880319828,2.021980546546969,2.470271167510258,0.22414531048164438,1.1360563973913762,-9.0,63.25501702116134,0.4384511618227523
12,2,customer_buy,4.0,9.699535021238127,9.413403383853016,9.145306511754683,9.699535021238127,0.2771142547417229,1.1445265495404442,-5.0,102.05315710611384,0.5191330277062419
13,2,customer_sell,3.0,9.084270549028485,9.413403383853016,9.084270549028485,9.832710045111433,0.37421974804147495,0.9873985044735925,-2.0,74.80034545902839,0.04289208397403814
14,4,customer_buy,2.0,10.676324404513423,10.06831736088072,9.603996268104606,10.676324404513423,0.536164068204409,1.2160140872654068,-11.0,96.15299426805524,0.458978187662189
15,3,customer_buy,2.0,10.351161924947045,10.221397144073848,10.09163236320065,10.351161924947045,0.12976478087319646,0.25952956174639397,-2.0,116.85531811794932,0.008684686074040182
16,1,customer_buy,3.0,10.25192889795436,9.743651068114971,9.084154395294584,10.25192889795436,0.5838872513298874,1.5248334895181639,4.0,147.6111048118124,0.2809875206559457
17,1,customer_buy,2.0,10.05151125788425,9.743651068114971,9.349380110927978,10.05151125788425,0.3510655734781361,0.6157203795385584,2.0,167.7141273275809,0.0019086655759869675
