step,time,mean_spot,mean_delta,mean_stock_position,mean_cash,mean_trade
0,0.0,100.0,0.6368306511756191,0.6368306511756191,-53.23248154537636,0.6368306511756191
1,0.003968253968253968,100.00383001346765,0.6362405032060384,0.6362405032060384,-53.21323910654058,-0.0005901479695806214
2,0.007936507936507936,100.01133643785967,0.6357217302864636,0.6357217302864636,-53.20093452866903,-0.0005187729195749697
3,0.011904761904761904,99.99222056454408,0.6347214603593915,0.6347214603593915,-53.14035221691951,-0.0010002699270719754
4,0.015873015873015872,99.97003047817712,0.6336615071376522,0.6336615071376522,-53.073668507578816,-0.0010599532217392754
5,0.01984126984126984,99.98011506038559,0.6331821817378287,0.6331821817378287,-53.06614896069111,-0.00047932539982356337
6,0.023809523809523808,99.9947622805668,0.6328494381693962,0.6328494381693962,-53.07079158809827,-0.0003327435684324713
7,0.027777777777777776,100.01016633315164,0.63250331174674,0.63250331174674,-53.07502736157449,-0.0003461264226562301
8,0.031746031746031744,100.03841129951071,0.6323762808901574,0.6323762808901574,-53.101963347349525,-0.0001270308565824498
9,0.03571428571428571,100.05319200318367,0.6319951228692922,0.6319951228692922,-53.1034728705766,-0.0003811580208654382
10,0.03968253968253968,100.0809026570865,0.6317675866914984,0.6317675866914984,-53.12360758373081,-0.00022753617779372543
11,0.04365079365079365,100.09612043920998,0.6313518274882632,0.6313518274882632,-53.12385362876239,-0.0004157592032351701
12,0.047619047619047616,100.11955276702622,0.6311528207611624,0.6311528207611624,-53.14306456132126,-0.00019900672710077734
13,0.051587301587301584,100.15454977817637,0.6312031373172156,0.6312031373172156,-53.18619767859611,5.0316556053108754e-05
14,0.05555555555555555,100.18575091211208,0.6310609844412883,0.6310609844412883,-53.21403292871045,-0.00014215287592718941
15,0.05952380952380952,100.2004731713831,0.6306114983966098,0.6306114983966098,-53.211472409480855,-0.00044948604467855916
16,0.06349206349206349,100.23207420783821,0.630500252126271,0.630500252126271,-53.24245334882284,-0.00011124627033871986
17,0.06746031746031746,100.25087826214359,0.6301689932969724,0.6301689932969724,-53.25032566895075,-0.00033125882929870037
18,0.07142857142857142,100.26148705669269,0.6297306941252939,0.6297306941252939,-53.24542689353009,-0.0004382991716784237
19,0.07539682539682539,100.28059762132412,0.6294118560086568,0.6294118560086568,-53.25435475694719,-0.00031883811663719654
20,0.07936507936507936,100.29305176263453,0.6289827296887748,0.6289827296887748,-53.2515114889713,-0.00042912631988191555
21,0.08333333333333333,100.32507251870355,0.6289353093576137,0.6289353093576137,-53.28663341308554,-4.7420331161173865e-05
22,0.0873015873015873,100.33696105507072,0.6284526003176868,0.6284526003176868,-53.27854801073226,-0.00048270903992688206
23,0.09126984126984126,100.38546572508179,0.6286247260560637,0.6286247260560637,-53.33568993157789,0.00017212573837694766
24,0.09523809523809523,100.39501212635118,0.6282179490953205,0.6282179490953205,-53.33391043079286,-0.0004067769607432724
25,0.0992063492063492,100.39346312013883,0.6275618890187884,0.6275618890187884,-53.307267307076955,-0.000656060076532044
26,0.10317460317460317,100.40252862846107,0.6269891319404138,0.6269891319404138,-53.2912132150525,-0.000572757078374619
27,0.10714285714285714,100.42717120478642,0.6266899142800983,0.6266899142800983,-53.30404771653102,-0.0002992176603155111
28,0.1111111111111111,100.44720179272443,0.6264556778872326,0.6264556778872326,-53.31861489013371,-0.00023423639286570785
29,0.11507936507936507,100.48966637103221,0.6264765144331866,0.6264765144331866,-53.36330571652567,2.0836545953976236e-05
30,0.11904761904761904,100.51204565970902,0.6262835929140531,0.6262835929140531,-53.38312903410931,-0.00019292151913340554
31,0.12301587301587301,100.56774993234461,0.626580415855928,0.626580415855928,-53.456416597145086,0.0002968229418749078
32,0.12698412698412698,100.61844089800677,0.6267343134296367,0.6267343134296367,-53.51550547316496,0.00015389757370870073
33,0.13095238095238093,100.59082713176637,0.625573625920379,0.625573625920379,-53.438435811196804,-0.0011606875092577437
34,0.1349206349206349,100.58928226419815,0.6248519958907466,0.6248519958907466,-53.40722799074947,-0.000721630029632519
35,0.1388888888888889,100.61787097279773,0.6248118227401831,0.6248118227401831,-53.440594790392325,-4.017315056337376e-05
36,0.14285714285714285,100.65858329405263,0.6249323603450767,0.6249323603450767,-53.49317870693297,0.00012053760489355044
37,0.1468253968253968,100.6790451635283,0.6245609744165854,0.6245609744165854,-53.49975208969888,-0.0003713859284912303
38,0.15079365079365079,100.71558167149014,0.6244544563073369,0.6244544563073369,-53.53300159585585,-0.00010651810924855951
39,0.15476190476190477,100.75789012252402,0.6244608527022804,0.6244608527022804,-53.57720555892536,6.396394943498462e-06
40,0.15873015873015872,100.78796071229819,0.6242564612053033,0.6242564612053033,-53.599371853284815,-0.0002043914969771495
41,0.16269841269841268,100.79872489771955,0.6238341556577723,0.6238341556577723,-53.60068801375609,-0.0004223055475309572
42,0.16666666666666666,100.76676948050911,0.6227414439416556,0.6227414439416556,-53.52710197584175,-0.0010927117161165572
43,0.17063492063492064,100.77452821534621,0.6222454157389966,0.6222454157389966,-53.51746893023623,-0.0004960282026590607
44,0.1746031746031746,100.80610462860008,0.622053101662075,0.622053101662075,-53.54049373754842,-0.00019231407692174243
45,0.17857142857142855,100.79301054553815,0.6210965620691677,0.6210965620691677,-53.48742019003819,-0.0009565395929071993
46,0.18253968253968253,100.80125824576362,0.6206074230645403,0.6206074230645403,-53.47845822872736,-0.0004891390046274023
47,0.1865079365079365,100.82447659909283,0.6203166212747923,0.6203166212747923,-53.491223855118896,-0.0002908017897480625
48,0.19047619047619047,100.81665722110851,0.6195294039703786,0.6195294039703786,-53.45124067983839,-0.000787217304413648
49,0.19444444444444442,100.84228914830445,0.6195214358902029,0.6195214358902029,-53.48759579520245,-7.968080175757852e-06
50,0.1984126984126984,100.86300224320507,0.6192277386818857,0.6192277386818857,-53.49827419862563,-0.0002936972083169905
51,0.20238095238095238,100.85435538628539,0.6185049312039177,0.6185049312039177,-53.464008523877595,-0.0007228074779681634
52,0.20634920634920634,100.88893834297303,0.6185141227563967,0.6185141227563967,-53.505535386018536,9.191552479058784e-06
53,0.2103174603174603,100.89490325792342,0.6179289481598709,0.6179289481598709,-53.486773367869716,-0.0005851745965258845
54,0.21428571428571427,100.88235125116097,0.6170924033646249,0.6170924033646249,-53.441180343009464,-0.0008365447952459579
55,0.21825396825396826,100.894664107158,0.6167535678284672,0.6167535678284672,-53.44372192990947,-0.00033883553615771816
56,0.2222222222222222,100.92376736037055,0.6166972533361803,0.6166972533361803,-53.47752948606969,-5.6314492286982266e-05
57,0.22619047619047616,100.98675973047153,0.617132153496254,0.617132153496254,-53.563258395737584,0.0004349001600739013
58,0.23015873015873015,101.01185056774179,0.6168334135414042,0.6168334135414042,-53.57658478653023,-0.00029873995484990814
59,0.23412698412698413,101.01910882706493,0.6163067291102482,0.6163067291102482,-53.56419254147457,-0.0005266844311559824
60,0.23809523809523808,101.03976210370315,0.615999663992672,0.615999663992672,-53.57543335126245,-0.00030706511757614443
61,0.24206349206349204,101.09540945625996,0.6165095266117263,0.6165095266117263,-53.66193015761445,0.0005098626190542024
62,0.24603174603174602,101.12693092568234,0.6164357735226669,0.6164357735226669,-53.69602141986935,-7.375308905943167e-05
63,0.25,101.1533022208407,0.6161718738993832,0.6161718738993832,-53.711855827294954,-0.000263899623283529
