trade_id,instrument_id,trade_side,quantity,trade_price,fair_value,bid,ask,half_spread,spread_capture,inventory_after,cash_after,order_flow_toxicity
0,0,customer_sell,5.0,9.614562112051333,9.743651068114971,9.614562112051333,9.87274002417861,0.129088956063639,0.6454447803181917,5.0,-48.07281056025666,0.21656800010055394
1,1,customer_sell,5.0,9.264936528720508,9.413403383853016,9.264936528720508,9.561870238985524,0.14846685513250876,0.7423342756625395,5.0,-94.3974932038592,0.38479048847289876
2,0,customer_buy,4.0,10.09006505811198,9.743651068114971,9.312851563061601,10.09006505811198,0.3886067475251901,1.3856559599880356,1.0,-54.03723297141128,0.42978862958402425
3,2,customer_buy,3.0,10.392267230674548,10.221397144073848,10.050527057473147,10.392267230674548,0.17087008660070058,0.5126102598021021,-3.0,-22.860431279387633,0.447793416054787
4,0,customer_buy,4.0,9.942866899039291,9.743651068114971,9.52755813417938,9.942866899039291,0.2076543824299556,0.7968633236972806,-3.0,16.911036316769533,0.4416342857374465
5,2,customer_sell,3.0,10.010391995664675,10.221397144073848,10.010391995664675,10.469714191447496,0.22966109789141123,0.6330154452275192,0.0,-13.12013967022449,0.1372323766581744
6,2,customer_buy,5.0,10.351090501154507,10.221397144073848,10.091703786993188,10.351090501154507,0.1296933570806596,0.6484667854032988,-5.0,38.63531283554805,0.17922785083480877
7,0,customer_buy,5.0,10.051769901185418,9.743651068114971,9.486163544078343,10.051769901185418,0.28280317855353776,1.5405941653522337,-8.0,88.89416234147514,0.3308405263785023
8,1,customer_buy,4.0,9.672125115745496,9.413403383853016,9.084233350059064,9.672125115745496,0.29394588284321577,1.0348869275699215,1.0,127.58266280445713,0.018492138841879634
9,0,customer_buy,5.0,10.287839823672345,9.743651068114971,9.334479136647774,10.287839823672345,0.47668034351228444,2.720943777786866,-13.0,179.02186192281886,0.09494390645905171
10,2,customer_sell,5.0,9.903681574629847,10.221397144073848,9.903681574629847,10.601299211791975,0.3488088185810636,1.5885778472200052,0.0,129.50345404966964,0.4516710342538351
11,2,customer_buy,4.0,10.408502633595116,10.221397144073848,10.034291654552579,10.408502633595116,0.18710548952126954,0.7484219580850748,-4.0,171.13746458405012,0.5536850255332554
12,1,customer_sell,4.0,9.258855590220765,9.413403383853016,9.258855590220765,9.553861517104973,0.14750296344210365,0.6181911745290023,5.0,134.10204222316708,0.09864502859525566
13,1,customer_buy,4.0,9.685723771266373,9.413403383853016,9.070634694538187,9.685723771266373,0.30754453836409223,1.0892815496534283,1.0,172.84493730823257,0.11479918080718703
14,2,customer_sell,1.0,9.92685213199208,10.221397144073848,9.92685213199208,10.565691354774915,0.31941961139141745,0.29454501208176787,-3.0,162.91808517624048,0.49132402946232034
15,2,customer_sell,2.0,9.971230568964868,10.221397144073848,9.971230568964868,10.508875618147302,0.2688225245912169,0.5003331502179584,-1.0,142.97562403831074,0.39265360168128294
16,2,customer_sell,4.0,9.99831142353133,10.221397144073848,9.99831142353133,10.456920164271189,0.22930437036992896,0.8923428821700696,3.0,102.98237834418542,0.597580123789599
17,0,customer_buy,3.0,10.548638167360888,9.743651068114971,9.158066308015592,10.548638167360888,0.6952859296726478,2.414961297737751,-16.0,134.6282928462681,0.028240682517814086
18,1,customer_sell,1.0,9.206325213019134,9.413403383853016,9.206325213019134,9.606391894306604,0.2000333406437353,0.20707817083388136,2.0,125.42196763324895,0.47067042727120456
19,0,customer_buy,2.0,10.790013203184001,9.743651068114971,8.967322581226297,10.790013203184001,0.9113453109788523,2.09272427013806,-18.0,147.00199403961696,0.5690826633083763
20,2,customer_sell,3.0,9.940677608353111,10.221397144073848,9.940677608353111,10.464804780830109,0.2620635862384987,0.8421586071622098,6.0,117.17996121455764,0.34857001077585936
21,1,customer_sell,5.0,9.214072885669038,9.413403383853016,9.214072885669038,9.584554561276404,0.18524083780368222,0.9966524909198871,7.0,71.10959678621245,0.08658935660714859
22,2,customer_sell,2.0,9.795188241412387,10.221397144073848,9.795188241412387,10.572982248806358,0.3888970036969859,0.8524178053229221,8.0,51.51922030338768,0.481799614404508
23,0,customer_sell,1.0,8.971334901570417,9.743651068114971,8.971334901570417,10.819755088862424,0.9242100936460034,0.7723161665445542,-17.0,42.54788540181726,0.03213780979234462
24,1,customer_sell,1.0,8.981364771650489,9.413403383853016,8.981364771650489,9.746814373393482,0.38272480087149735,0.43203861220252726,8.0,33.56652063016677,0.08859517382197814
25,0,customer_buy,4.0,10.810422784774172,9.743651068114971,8.963790102647398,10.810422784774172,0.923316341063387,4.267086866636802,-21.0,76.80821176926347,0.33850594738975875
26,1,customer_buy,3.0,9.805904747444448,9.413403383853016,8.908184737219226,9.805904747444448,0.4488600051126099,1.1775040907742955,5.0,106.22592601159681,0.2776522395021229
27,1,customer_buy,2.0,9.696110006747556,9.413403383853016,9.060248459057004,9.696110006747556,0.31793077384527624,0.565413245789081,3.0,125.61814602509193,0.1883555419351201
28,0,customer_sell,2.0,8.801051358728598,9.743651068114971,8.801051358728598,11.040669940738061,1.1198092910047321,1.8851994187727463,-19.0,108.01604330763473,0.4329899393834283
29,2,customer_buy,4.0,10.600010202627573,10.221397144073848,9.74328568828152,10.600010202627573,0.42836225717302534,1.5144522342149003,4.0,150.41608411814502,0.2765280595868483
30,0,customer_sell,1.0,8.90780187319363,9.743651068114971,8.90780187319363,10.900165220250482,0.996181673528425,0.8358491949213409,-18.0,141.5082822449514,0.21208858764678976
31,1,customer_buy,2.0,9.628940009537011,9.413403383853016,9.155597777028138,9.628940009537011,0.23667111625443632,0.4310732513679909,1.0,160.7661622640254,0.1715046633454135
32,0,customer_buy,4.0,10.858969305641399,9.743651068114971,8.932120684791442,10.858969305641399,0.9634243104249771,4.461272950105709,-22.0,204.202039486591,0.3004439201325635
33,1,customer_buy,2.0,9.546430556917814,9.413403383853016,9.266286550407925,9.546430556917814,0.14007200325494457,0.26605434612959655,-1.0,223.29490060042662,0.046018223431422076
34,2,customer_sell,2.0,9.945515786718596,10.221397144073848,9.945515786718596,10.4475293028098,0.2510067580456014,0.5517627147105024,6.0,203.4038690269894,0.04511723156235243
35,0,customer_sell,4.0,8.816767234530705,9.743651068114971,8.816767234530705,11.041831167947226,1.1125319667082603,3.7075353343370665,-18.0,168.1368000888666,0.0707147855353532
36,0,customer_buy,2.0,10.832044197894884,9.743651068114971,8.959045792537957,10.832044197894884,0.9364992026784638,2.176786259559826,-20.0,189.80088848465638,0.11622065817946964
37,1,customer_sell,3.0,9.278465710151107,9.413403383853016,9.278465710151107,9.562430717935218,0.1419825038920563,0.4048130211057277,2.0,161.96549135420307,0.05954858051345859
38,0,customer_sell,3.0,8.894797339926336,9.743651068114971,8.894797339926336,10.930046856529048,1.017624758301356,2.5465611845659044,-17.0,135.28109933442406,0.04632025907140982
39,1,customer_sell,5.0,9.2249195366436,9.413403383853016,9.2249195366436,9.573707910301842,0.17439418682912,0.9424192360470762,7.0,89.15650165120606,0.009772286788258344
40,0,customer_buy,5.0,10.800023460310038,9.743651068114971,8.974189427111531,10.800023460310038,0.9129170165992538,5.281861960975336,-22.0,143.15661895275625,0.26735312256441324
41,0,customer_buy,4.0,11.060706739509131,9.743651068114971,8.7978916629688,11.060706739509131,1.1314075382701656,5.268222685576639,-26.0,187.39944591079276,0.19986262022929477
42,1,customer_buy,4.0,9.734717668903926,9.413403383853016,8.993461476140045,9.734717668903926,0.37062809638194105,1.2852571402036403,3.0,226.33831658640847,0.0029250996643430892
43,2,customer_buy,5.0,10.513728223770151,10.221397144073848,9.854442266448594,10.513728223770151,0.3296429786607792,1.4616553984815184,1.0,278.90695770525923,0.09532912704677972
44,0,customer_buy,1.0,11.293499193744449,9.743651068114971,8.632607620778568,11.293499193744449,1.3304457864829407,1.5498481256294774,-27.0,290.20045689900365,0.3117617013145614
45,2,customer_buy,3.0,10.4370260195529,10.221397144073848,9.993330968939972,10.4370260195529,0.22184752530646445,0.6468866264371549,-2.0,321.5115349576624,0.5489445999738369
46,1,customer_sell,4.0,9.13061516036912,9.413403383853016,9.13061516036912,9.65392262619603,0.2616537329134544,1.1311528939355853,7.0,284.9890743161859,0.348434059585327
47,2,customer_buy,1.0,10.411373291042029,10.221397144073848,10.056295596415318,10.411373291042029,0.1775388473133559,0.18997614696818133,-3.0,295.40044760722793,0.028614425680734065
48,0,customer_buy,3.0,11.334119567383231,9.743651068114971,8.60886435015106,11.334119567383231,1.3626276086160847,4.77140549780478,-30.0,329.40280630937764,0.2194684817111122
49,0,customer_buy,5.0,11.514068431196556,9.743651068114971,8.47954679537155,11.514068431196556,1.5172608179125016,8.852086815407922,-35.0,386.9731484653604,0.3400287728805691
50,2,customer_buy,4.0,10.528719788655021,10.221397144073848,9.95138639845715,10.528719788655021,0.28866669509893644,1.2292905783246937,-7.0,429.0880276199805,0.522082551742347
51,2,customer_sell,2.0,9.894933652332806,10.221397144073848,9.894933652332806,10.634921733398663,0.3699940405329281,0.6529269834820823,-5.0,409.2981603153149,0.12717225921365527
52,0,customer_sell,1.0,8.313266115494018,9.743651068114971,8.313266115494018,11.76473462613045,1.725734255318215,1.4303849526209529,-34.0,400.98489419982087,0.20400075693669584
53,1,customer_buy,5.0,9.735419332693818,9.413403383853016,8.992759812350153,9.735419332693818,0.37132976017183317,1.6100797442040093,2.0,449.66199086328993,0.00789435298169756
54,0,customer_buy,5.0,11.754298744651217,9.743651068114971,8.306824893961979,11.754298744651217,1.7237369253446198,10.053238382681231,-39.0,508.433484586546,0.5028181493821188
55,0,customer_buy,4.0,12.018274685789706,9.743651068114971,8.127234467879852,12.018274685789706,1.9455201089549279,9.098494470698938,-43.0,556.5065833297049,0.45785624484111515
56,1,customer_sell,1.0,9.159757857961502,9.413403383853016,9.159757857961502,9.63886958898394,0.23955586551121988,0.253645525891514,3.0,547.3468254717434,0.4712538291166713
57,0,customer_sell,3.0,7.951500680359167,9.743651068114971,7.951500680359167,12.210885576321662,2.129692447981248,5.376451163267414,-40.0,523.4923234306659,0.46804185060772646
58,0,customer_sell,2.0,8.156360084616047,9.743651068114971,8.156360084616047,12.006026172064782,1.9248330437243673,3.174581966997849,-38.0,507.17960326143384,0.0038308094312647922
59,0,customer_sell,1.0,8.155311466699319,9.743651068114971,8.155311466699319,11.973320583958964,1.909004558629822,1.5883396014156528,-37.0,499.0242917947345,0.5204978265957014
60,2,customer_sell,3.0,9.900753206602172,10.221397144073848,9.900753206602172,10.60422757981965,0.3517371866087393,0.9619318124150276,-2.0,469.322032174928,0.4707706282160528
61,1,customer_buy,4.0,9.627504079007837,9.413403383853016,9.157033707557312,9.627504079007837,0.2352351857252621,0.856402780619284,-1.0,507.8320484909593,0.16133525935395682
62,1,customer_buy,1.0,9.607271374770196,9.413403383853016,9.233625053316128,9.607271374770196,0.18682316072703345,0.19386799091718032,-2.0,517.4393198657295,0.3771146084879469
63,2,customer_buy,1.0,10.428625793026026,10.221397144073848,10.039043094431321,10.428625793026026,0.19479134929735248,0.20722864895217796,-3.0,527.8679456587556,0.14113982536153483
64,0,customer_buy,5.0,11.844839646608422,9.743651068114971,8.266915301038589,11.844839646608422,1.7889621727849165,10.505942892467255,-42.0,587.0921438917977,0.011643604324405454
65,2,customer_buy,2.0,10.524980760196701,10.221397144073848,9.955125426915469,10.524980760196701,0.28492766664061553,0.6071672322457076,-5.0,608.1421054121911,0.497695615164642
66,1,customer_buy,5.0,9.666882611577856,9.413403383853016,9.188103476888765,9.666882611577856,0.2393895673445465,1.2673961386242016,-7.0,656.4765184700804,0.47007608882521523
67,2,customer_sell,4.0,9.910300639331735,10.221397144073848,9.910300639331735,10.594680147090086,0.3421897538791757,1.2443860189684486,-1.0,616.8353159127535,0.4084997364453257
68,1,customer_sell,2.0,9.018036478158828,9.413403383853016,9.018036478158828,9.907397912209264,0.44468071702521783,0.7907338113883746,-5.0,598.7992429564358,0.527373184475699
