scenario,base_value,stressed_value,pnl,delta_exposure,gamma_exposure,vega_exposure,theta_exposure,rho_exposure
base,-328.6004091527208,-328.6004091527208,0.0,-32.00194159378234,-0.8112243313290338,-711.9267532545423,281.3577340159297,-1591.4652157009505
market_crash,-328.6004091527208,7.621960898060763,336.22237005078154,-18.814733786707386,-0.5714485200938362,-631.2967872490806,367.13387261533114,-1011.1483652661689
flash_crash,-328.6004091527208,177.3809004157469,505.9813095684677,-14.520260906644252,-0.42551840773490357,-407.7580156603715,325.0440819219615,-850.7823015426449
volatility_explosion,-328.6004091527208,-494.4108817007955,-165.81047254807476,-29.44168031127221,-0.4363085687227927,-782.1889834049477,493.6992746922359,-1397.5722826014237
vol_crush,-328.6004091527208,-271.7570297846255,56.84337936809527,-35.78834560038506,-1.114822604807864,-556.190112932333,195.65840176642695,-1805.0104027724951
rate_jump,-328.6004091527208,-360.4021004656712,-31.801691312950425,-32.638675013190706,-0.7802757247809176,-679.880805114629,332.8638012544183,-1588.5623881851304
term_structure_inversion,-328.6004091527208,-384.2287453991979,-55.62833624647715,-29.93562296846555,-0.593602496684482,-724.0486369855654,394.12361762950945,-1345.8385997742905
